timestamp,EnvH,EnvT,InH,InT,IrA1,IrO1,IrA2,IrO2
2025-07-04 14:40:14.32,62.55,25.12,57.82,27.97,,,,
2025-07-04 14:40:15.66,62.73,25.08,59.23,27.38,,,,
2025-07-04 14:40:17.00,62.72,25.08,59.24,27.38,,,,
2025-07-04 14:40:18.34,62.73,25.08,59.25,27.36,,,,
2025-07-04 14:40:19.74,62.72,25.08,59.25,27.36,,,,
2025-07-04 14:40:21.08,62.72,25.08,59.26,27.38,,,,
2025-07-04 14:40:22.42,62.71,25.06,59.28,27.36,,,,
2025-07-04 14:40:23.79,62.71,25.06,59.28,27.34,,,,
2025-07-04 14:40:25.14,62.72,25.08,59.3,27.32,,,,
2025-07-04 14:40:26.48,62.72,25.08,59.32,27.32,,,,
2025-07-04 14:40:27.87,62.72,25.08,59.32,27.32,,,,
2025-07-04 14:40:29.24,62.72,25.08,59.34,27.32,,,,
2025-07-04 14:40:30.60,62.71,25.08,59.36,27.34,,,,
2025-07-04 14:40:31.94,62.7,25.08,59.38,27.32,,,,
2025-07-04 14:40:33.31,62.71,25.08,59.4,27.29,,,,
2025-07-04 14:40:34.69,62.7,25.08,59.43,27.29,,,,
2025-07-04 14:40:36.05,62.7,25.08,59.45,27.32,,,,
2025-07-04 14:40:37.39,62.71,25.08,59.48,27.29,,,,
2025-07-04 14:40:38.74,62.72,25.08,59.5,27.29,,,,
2025-07-04 14:40:40.13,62.73,25.1,59.5,27.29,,,,
2025-07-04 14:40:41.50,62.73,25.08,59.52,27.27,,,,
2025-07-04 14:40:42.86,62.72,25.08,59.53,27.25,,,,
2025-07-04 14:40:44.24,62.71,25.06,59.53,27.25,,,,
2025-07-04 14:40:45.60,62.71,25.08,59.53,27.27,,,,
2025-07-04 14:40:46.99,62.74,25.08,59.54,27.25,,,,
2025-07-04 14:40:48.33,62.77,25.1,59.56,27.23,,,,
2025-07-04 14:40:49.67,62.75,25.08,59.59,27.25,,,,
2025-07-04 14:40:51.04,62.75,25.08,59.6,27.23,,,,
2025-07-04 14:40:52.42,62.75,25.08,59.6,27.25,,,,
2025-07-04 14:40:53.76,62.74,25.1,59.62,27.23,,,,
2025-07-04 14:40:55.11,62.74,25.1,59.64,27.23,,,,
2025-07-04 14:40:56.48,62.74,25.08,59.66,27.23,,,,
2025-07-04 14:40:57.85,62.74,25.08,59.67,27.23,,,,
2025-07-04 14:40:59.20,62.72,25.08,59.66,27.21,,,,
2025-07-04 14:41:00.57,62.71,25.12,59.68,27.21,,,,
2025-07-04 14:41:01.93,62.72,25.1,59.69,27.21,,,,
2025-07-04 14:41:03.30,62.72,25.1,59.7,27.23,,,,
2025-07-04 14:41:04.66,62.7,25.1,59.71,27.21,,,,
2025-07-04 14:41:06.02,62.69,25.1,59.72,27.19,,,,
2025-07-04 14:41:07.39,62.68,25.08,59.75,27.19,,,,
2025-07-04 14:41:08.78,62.68,25.08,59.76,27.19,,,,
2025-07-04 14:41:10.12,62.69,25.1,59.78,27.21,,,,
2025-07-04 14:41:11.46,62.69,25.1,59.8,27.19,,,,
2025-07-04 14:41:12.84,62.69,25.1,59.8,27.14,,,,
2025-07-04 14:41:14.23,62.71,25.08,59.84,27.21,,,,
2025-07-04 14:41:15.58,62.73,25.1,59.85,27.25,,,,
2025-07-04 14:41:16.95,62.74,25.1,59.82,27.27,,,,
2025-07-04 14:41:18.32,62.75,25.1,59.76,27.27,,,,
2025-07-04 14:41:19.71,62.75,25.08,59.7,27.29,,,,
2025-07-04 14:41:21.06,62.74,25.08,59.66,27.32,,,,
2025-07-04 14:41:22.41,62.74,25.08,59.63,27.36,,,,
2025-07-04 14:41:23.77,62.74,25.08,59.62,27.36,,,,
2025-07-04 14:41:25.16,62.75,25.08,59.58,27.4,,,,
2025-07-04 14:41:26.52,62.75,25.08,59.52,27.46,,,,
2025-07-04 14:41:27.89,62.74,25.08,59.44,27.46,,,,
2025-07-04 14:41:29.27,62.74,25.08,59.36,27.5,,,,
2025-07-04 14:41:30.64,62.74,25.08,59.29,27.53,,,,
2025-07-04 14:41:31.99,62.72,25.08,59.19,27.59,,,,
2025-07-04 14:41:33.35,62.72,25.06,59.09,27.59,,,,
2025-07-04 14:41:34.72,62.73,25.08,58.99,27.68,,,,
2025-07-04 14:41:36.12,62.74,25.1,58.89,27.76,,,,
2025-07-04 14:41:37.46,62.73,25.08,58.79,27.78,,,,
2025-07-04 14:41:38.81,62.73,25.1,58.69,27.84,,,,
2025-07-04 14:41:40.18,62.72,25.08,58.58,27.89,,,,
2025-07-04 14:41:41.56,62.7,25.08,58.47,27.93,,,,
2025-07-04 14:41:42.91,62.72,25.08,58.35,27.97,,,,
2025-07-04 14:41:44.26,62.72,25.08,58.22,28.04,,,,
2025-07-04 14:41:45.63,62.72,25.08,58.11,28.12,,,,
2025-07-04 14:41:47.01,62.71,25.1,57.97,28.16,,,,
2025-07-04 14:41:48.35,62.72,25.08,57.82,28.23,,,,
2025-07-04 14:41:49.72,62.71,25.08,57.68,28.31,,,,
2025-07-04 14:41:51.10,62.73,25.1,57.53,28.36,,,,
2025-07-04 14:41:52.50,62.72,25.08,57.38,28.42,,,,
2025-07-04 14:41:53.85,62.72,25.08,57.22,28.46,,,,
2025-07-04 14:41:55.19,62.72,25.08,57.08,28.55,,,,
2025-07-04 14:41:56.57,62.72,25.1,56.95,28.59,,,,
2025-07-04 14:41:57.94,62.7,25.08,56.79,28.67,,,,
2025-07-04 14:41:59.30,62.69,25.08,56.63,28.74,,,,
2025-07-04 14:42:00.66,62.69,25.08,56.48,28.8,,,,
2025-07-04 14:42:02.05,62.69,25.08,56.32,28.89,,,,
2025-07-04 14:42:03.43,62.68,25.08,56.17,28.95,,,,
2025-07-04 14:42:04.79,62.69,25.08,56.0,29.01,,,,
2025-07-04 14:42:06.15,62.69,25.08,55.84,29.1,,,,
2025-07-04 14:42:07.52,62.7,25.1,55.68,29.18,,,,
2025-07-04 14:42:08.89,62.69,25.08,55.51,29.23,,,,
2025-07-04 14:42:10.24,62.69,25.08,55.35,29.36,,,,
2025-07-04 14:42:11.59,62.69,25.08,55.19,29.38,,,,
2025-07-04 14:42:12.97,62.69,25.08,55.04,29.48,,,,
2025-07-04 14:42:14.35,62.68,25.08,54.87,29.54,,,,
2025-07-04 14:42:15.70,62.68,25.08,54.71,29.61,,,,
2025-07-04 14:42:17.07,62.69,25.08,54.56,29.74,,,,
2025-07-04 14:42:18.44,62.69,25.08,54.36,29.78,,,,
2025-07-04 14:42:19.85,62.7,25.08,54.19,29.86,,,,
2025-07-04 14:42:21.20,62.71,25.08,54.0,29.95,,,,
2025-07-04 14:42:22.55,62.72,25.08,53.81,30.03,,,,
2025-07-04 14:42:23.93,62.7,25.1,53.64,30.14,,,,
2025-07-04 14:42:25.31,62.69,25.08,53.46,30.25,,,,
2025-07-04 14:42:26.66,62.71,25.08,53.26,30.31,,,,
2025-07-04 14:42:28.03,62.7,25.08,53.1,30.4,,,,
2025-07-04 14:42:29.39,62.71,25.08,52.93,30.48,,,,
2025-07-04 14:42:30.77,62.71,25.08,52.75,30.54,,,,
2025-07-04 14:42:32.13,62.71,25.08,52.6,30.61,,,,
2025-07-04 14:42:33.49,62.72,25.08,52.45,30.71,,,,
2025-07-04 14:42:34.87,62.72,25.08,52.28,30.8,,,,
2025-07-04 14:42:36.23,62.73,25.08,52.11,30.86,,,,
2025-07-04 14:42:37.58,62.72,25.08,51.93,30.95,,,,
2025-07-04 14:42:38.93,62.72,25.08,51.74,31.03,,,,
2025-07-04 14:42:40.32,62.71,25.08,51.56,31.12,,,,
2025-07-04 14:42:41.70,62.7,25.08,51.36,31.22,,,,
2025-07-04 14:42:43.06,62.69,25.08,51.16,31.33,,,,
2025-07-04 14:42:44.42,62.69,25.08,50.97,31.4,,,,
2025-07-04 14:42:45.80,62.7,25.08,50.78,31.44,,,,
2025-07-04 14:42:47.17,62.7,25.08,50.61,31.54,,,,
2025-07-04 14:42:48.53,62.71,25.1,50.44,31.61,,,,
2025-07-04 14:42:49.88,62.71,25.08,50.28,31.69,,,,
2025-07-04 14:42:51.27,62.7,25.1,50.11,31.8,,,,
2025-07-04 14:42:52.64,62.69,25.1,49.92,31.88,,,,
2025-07-04 14:42:54.00,62.68,25.08,49.73,31.93,,,,
2025-07-04 14:42:55.36,62.67,25.1,49.56,32.05,,,,
2025-07-04 14:42:56.74,62.68,25.1,49.38,32.14,,,,
2025-07-04 14:42:58.15,62.68,25.1,49.2,32.22,,,,
2025-07-04 14:42:59.50,62.67,25.08,49.02,32.31,,,,
2025-07-04 14:43:00.86,62.67,25.1,48.85,32.42,,,,
2025-07-04 14:43:02.25,62.67,25.1,48.69,32.52,,,,
2025-07-04 14:43:03.65,62.68,25.14,48.49,32.57,,,,
2025-07-04 14:43:05.00,62.66,25.1,48.3,32.67,,,,
2025-07-04 14:43:06.36,62.66,25.12,48.12,32.8,,,,
2025-07-04 14:43:07.74,62.65,25.08,47.91,32.9,,,,
2025-07-04 14:43:09.12,62.64,25.1,47.7,32.99,,,,
2025-07-04 14:43:10.47,62.63,25.12,47.51,33.09,,,,
2025-07-04 14:43:11.83,62.63,25.08,47.34,33.18,,,,
2025-07-04 14:43:13.21,62.64,25.1,47.14,33.33,,,,
2025-07-04 14:43:14.62,62.66,25.12,46.92,33.35,,,,
2025-07-04 14:43:15.98,62.66,25.1,46.79,33.48,,,,
2025-07-04 14:43:17.33,62.66,25.1,46.64,33.61,,,,
2025-07-04 14:43:18.72,62.66,25.12,46.46,33.77,,,,
2025-07-04 14:43:20.08,62.65,25.12,46.19,33.82,,,,
2025-07-04 14:43:21.44,62.64,25.1,45.98,33.88,,,,
2025-07-04 14:43:22.82,62.63,25.12,45.84,33.99,,,,
2025-07-04 14:43:24.20,62.62,25.1,45.65,34.09,,,,
2025-07-04 14:43:25.60,62.6,25.12,45.49,34.14,,,,
2025-07-04 14:43:26.95,62.61,25.14,45.36,34.16,,,,
2025-07-04 14:43:28.32,62.61,25.12,45.26,34.26,,,,
2025-07-04 14:43:29.70,62.61,25.14,45.08,34.37,,,,
2025-07-04 14:43:31.10,62.61,25.12,44.94,34.41,,,,
2025-07-04 14:43:32.46,62.61,25.12,44.79,34.58,,,,
2025-07-04 14:43:33.81,62.61,25.14,44.58,34.63,,,,
2025-07-04 14:43:35.20,62.59,25.12,44.48,34.63,,,,
2025-07-04 14:43:36.58,62.58,25.14,44.38,34.71,,,,
2025-07-04 14:43:37.94,62.58,25.14,44.23,34.73,,,,
2025-07-04 14:43:39.31,62.56,25.14,44.19,34.86,,,,
2025-07-04 14:43:40.69,62.56,25.14,44.04,34.99,,,,
2025-07-04 14:43:42.07,62.56,25.14,43.87,34.99,,,,
2025-07-04 14:43:43.43,62.55,25.14,43.81,35.07,,,,
2025-07-04 14:43:44.79,62.54,25.14,43.66,35.22,,,,
2025-07-04 14:43:46.18,62.54,25.14,43.51,35.16,,,,
2025-07-04 14:43:47.57,62.53,25.14,43.49,35.33,,,,
2025-07-04 14:43:48.93,62.54,25.14,43.27,35.48,,,,
2025-07-04 14:43:50.29,62.54,25.14,43.12,35.43,,,,
2025-07-04 14:43:51.67,62.55,25.12,43.04,35.6,,,,
2025-07-04 14:43:53.05,62.54,25.14,42.83,35.71,,,,
2025-07-04 14:43:54.41,62.55,25.16,42.72,35.69,,,,
2025-07-04 14:43:55.80,62.57,25.14,42.62,35.82,,,,
2025-07-04 14:43:57.17,62.57,25.14,42.42,35.9,,,,
2025-07-04 14:43:58.58,62.57,25.14,42.35,35.92,,,,
2025-07-04 14:43:59.93,62.56,25.14,42.23,36.07,,,,
2025-07-04 14:44:01.30,62.57,25.14,42.03,36.14,,,,
2025-07-04 14:44:02.67,62.57,25.16,41.97,36.18,,,,
2025-07-04 14:44:04.08,62.55,25.14,41.84,36.35,,,,
2025-07-04 14:44:05.44,62.56,25.14,41.64,36.35,,,,
2025-07-04 14:44:06.80,62.56,25.14,41.61,36.41,,,,
2025-07-04 14:44:08.19,62.56,25.14,41.5,36.54,,,,
2025-07-04 14:44:09.61,62.54,25.14,41.34,36.5,,,,
2025-07-04 14:44:10.97,62.53,25.16,41.32,36.54,,,,
2025-07-04 14:44:12.34,62.53,25.16,41.22,36.64,,,,
2025-07-04 14:44:13.74,62.55,25.16,41.13,36.56,,,,
2025-07-04 14:44:15.13,62.56,25.18,41.12,36.66,,,,
2025-07-04 14:44:16.49,62.56,25.14,41.01,36.77,,,,
2025-07-04 14:44:17.85,62.56,25.14,40.92,36.71,,,,
2025-07-04 14:44:19.23,62.57,25.14,40.89,36.79,,,,
2025-07-04 14:44:20.62,62.57,25.16,40.79,36.88,,,,
2025-07-04 14:44:22.00,62.57,25.16,40.74,36.86,,,,
2025-07-04 14:44:23.37,62.56,25.16,40.69,36.94,,,,
2025-07-04 14:44:24.76,62.55,25.16,40.6,37.03,,,,
2025-07-04 14:44:26.13,62.56,25.16,40.54,37.07,,,,
2025-07-04 14:44:27.50,62.57,25.16,40.44,37.09,,,,
2025-07-04 14:44:28.87,62.57,25.16,40.35,37.11,,,,
2025-07-04 14:44:30.27,62.56,25.18,40.33,37.13,,,,
2025-07-04 14:44:31.64,62.56,25.18,40.28,37.26,,,,
2025-07-04 14:44:33.00,62.54,25.14,40.19,37.2,,,,
2025-07-04 14:44:34.37,62.53,25.16,40.14,37.32,,,,
2025-07-04 14:44:35.76,62.53,25.16,40.04,37.41,,,,
2025-07-04 14:44:37.15,62.54,25.18,39.95,37.34,,,,
