IrO1,IrO2
41.21,28.91
41.29,28.89
41.17,28.91
41.03,29.05
41.21,28.85
41.21,28.97
41.15,29.05
41.19,28.83
41.19,28.97
41.49,29.05
41.83,29.35
42.43,29.69
43.03,30.09
43.77,30.85
44.87,30.99
45.61,31.55
46.47,31.91
47.41,32.09
48.19,32.39
49.43,32.99
50.23,33.29
51.35,33.29
52.19,34.13
53.21,33.95
54.05,34.63
55.31,34.77
56.23,35.71
57.21,35.53
58.15,36.15
59.39,36.85
60.43,36.61
61.37,37.51
62.49,37.45
63.53,37.67
64.61,38.97
65.69,38.79
66.87,38.71
67.85,39.83
68.81,39.89
69.79,40.43
71.11,40.71
72.15,41.25
73.09,41.21
74.21,41.75
75.27,42.53
76.37,42.59
77.53,42.87
78.69,43.63
79.69,43.23
80.79,43.91
81.71,44.55
82.69,45.19
83.95,44.71
84.87,45.39
86.03,46.47
87.01,46.03
87.89,46.83
88.95,47.51
90.27,46.99
90.99,47.85
92.13,48.13
93.11,47.89
94.25,49.07
95.03,48.51
96.39,48.69
97.17,50.13
98.15,50.63
99.29,50.15
100.19,50.73
101.07,52.03
102.07,50.95
103.13,52.03
104.05,53.13
105.05,52.51
105.89,52.15
106.89,53.71
107.67,54.05
108.91,53.31
109.61,55.09
110.67,54.13
111.49,55.75
112.49,54.61
113.47,56.31
114.33,55.29
115.17,56.35
116.19,57.31
116.81,56.13
117.81,56.87
118.81,57.71
119.67,58.79
120.41,57.55
121.43,58.47
122.21,59.89
123.15,59.99
124.19,58.75
124.95,59.57
125.97,61.05
126.69,59.97
127.65,59.71
128.67,61.11
129.19,62.33
130.01,61.05
130.99,61.75
131.93,62.47
132.77,63.35
133.47,62.03
134.41,63.41
135.15,64.53
135.93,64.39
136.97,63.47
137.43,65.39
138.49,64.03
139.17,65.79
139.95,65.05
140.69,66.35
141.59,65.41
142.19,67.07
143.29,65.81
144.05,67.71
144.47,65.87
145.17,67.07
145.99,68.29
146.91,67.71
147.49,67.63
148.41,69.71
149.17,68.89
149.81,68.63
150.53,69.33
151.25,68.69
151.73,70.95
152.63,69.99
153.17,69.67
153.91,71.83
154.55,70.07
155.51,71.89
155.97,71.65
156.63,70.69
157.39,72.99
158.15,72.07
158.53,71.91
159.39,72.91
160.11,71.97
160.63,74.25
161.29,73.15
161.77,73.47
162.69,74.93
163.07,73.83
163.69,75.75
164.03,73.85
165.07,76.05
165.53,74.39
166.15,76.17
166.69,75.23
167.31,75.39
168.11,77.47
168.69,75.77
168.79,77.23
169.69,76.57
170.45,77.15
170.67,76.85
171.57,78.79
171.95,76.83
172.55,79.09
173.19,77.69
173.43,79.57
174.01,77.83
174.61,79.65
175.31,78.17
175.79,80.67
176.21,79.31
176.71,80.25
177.27,78.95
177.61,81.01
178.23,80.03
178.69,80.79
179.39,81.29
179.73,80.17
180.41,82.01
180.79,81.35
181.29,81.61
181.85,82.79
182.55,81.33
182.95,82.41
183.51,82.97
183.83,82.53
184.41,84.37
184.67,82.29
185.01,84.15
185.85,84.87
186.15,82.75
186.63,83.97
187.31,84.89
187.47,83.41
188.13,83.79
188.47,85.49
188.93,85.75
189.73,84.33
190.01,84.81
190.21,85.07
190.83,86.51
191.31,87.25
191.69,85.97
192.17,85.15
192.23,85.53
192.87,85.85
193.35,86.35
193.75,87.07
193.99,86.67
194.51,87.23
195.23,88.05
195.49,88.41
195.73,87.59
196.47,88.03
196.69,88.67
196.75,89.19
197.27,89.91
197.27,89.11
197.03,89.51
196.53,89.41
196.13,88.53
195.91,88.49
194.77,88.17
194.13,86.97
193.51,85.91
192.75,85.91
192.21,84.29
191.03,84.77
190.19,85.45
189.61,83.17
188.45,82.71
187.45,83.55
186.41,82.93
185.43,81.73
184.89,82.21
183.85,81.33
182.69,80.21
181.81,80.11
181.13,80.81
180.03,78.61
179.27,79.05
178.43,78.99
177.33,78.31
176.55,77.41
175.63,77.89
174.81,76.13
173.89,76.57
173.27,75.97
172.83,76.17
172.65,75.45
172.47,76.25
172.47,75.59
172.57,75.73
172.63,76.91
172.85,75.87
172.93,77.75
173.23,76.07
173.47,78.03
173.69,77.41
174.19,77.63
174.39,78.47
174.93,78.01
175.01,79.41
175.53,78.19
175.93,78.79
176.33,80.35
176.73,78.79
176.93,79.79
177.51,80.35
178.05,79.71
178.27,81.13
178.49,80.29
179.35,81.23
179.43,81.09
180.05,81.19
180.45,82.11
181.01,81.05
181.41,82.71
181.51,82.63
182.07,82.17
182.71,83.77
183.31,84.23
183.33,82.59
184.15,83.97
184.41,84.33
184.95,82.77
185.33,83.65
185.57,85.61
186.43,84.11
186.65,84.21
187.07,85.19
187.67,85.19
187.97,86.31
188.69,86.21
189.01,85.39
189.73,84.93
189.85,86.35
190.27,85.65
190.79,85.53
190.93,85.67
191.71,87.01
191.85,86.87
192.47,87.11
192.95,87.11
193.39,88.91
193.37,89.01
193.83,88.45
193.79,88.25
193.37,87.81
193.21,88.37
192.43,88.15
192.03,87.69
191.25,87.01
190.67,86.73
189.89,86.53
189.05,85.13
188.27,83.69
187.55,83.13
186.75,83.39
185.83,83.93
185.15,82.99
184.17,81.35
183.17,81.01
182.73,81.49
181.75,81.85
180.87,79.95
179.95,79.71
178.97,80.09
178.03,78.77
177.35,78.71
176.37,79.05
175.59,77.03
174.67,77.89
173.91,77.63
172.87,75.71
171.93,76.79
171.15,75.23
170.55,75.79
169.55,75.71
168.55,73.97
167.85,74.71
166.91,73.19
165.93,73.81
165.23,72.73
164.27,72.31
163.35,73.09
162.43,71.49
161.83,72.17
160.97,71.29
160.09,70.99
159.41,71.21
158.47,69.73
157.59,70.41
156.77,69.63
156.13,69.19
155.19,69.25
154.31,67.97
153.53,68.09
152.61,68.41
152.11,67.89
151.27,66.87
150.25,66.51
149.53,66.63
148.61,66.89
