iteration,quality_score
0,45.30
1,23.11
2,10.95
3,10.37
4,63.26
5,17.13
6,15.56
7,26.74
8,44.44
10,47.35
11,22.38
12,30.25
13,18.84
14,52.01
16,33.02
17,26.96
18,25.44
19,23.12
20,3.00
21,20.07
22,16.37
23,34.39
24,32.04
25,3.31
26,31.21
27,37.58
28,47.99
29,47.19
30,37.77
31,4.83
34,34.29
35,28.29
36,26.58
37,31.35
38,39.11
39,18.40
40,26.42
41,23.28
42,21.31
43,25.67
44,42.39
45,55.44
46,51.06
47,43.07
48,54.39
49,47.40
50,43.26
51,45.53
52,50.08
53,41.68
54,35.56
55,57.81
56,59.11
57,51.45
58,56.67
59,39.81
60,47.52
61,53.95
62,56.00
63,43.70
64,49.19
65,61.07
66,46.11
67,56.83
68,40.06
69,55.76
70,47.42
71,43.46
72,40.64
73,52.39
74,59.32
75,59.98
76,57.31
77,66.91
78,67.45
79,65.64
80,62.12
81,69.83
82,71.22
83,71.78
84,65.76
85,60.81
86,53.64
87,64.96
88,58.07
89,58.53
90,66.16
91,68.07
92,68.59
93,64.11
95,16.39
96,56.83
