timestamp,EnvH,EnvT,InH,InT,IrA1,IrO1,IrA2,IrO2
2025-06-24 15:34:57.52,33.39,28.69,37.8,28.78,,,29.35,28.83
2025-06-24 15:34:58.78,33.34,28.84,37.74,28.93,,,29.31,28.71
2025-06-24 15:34:59.91,33.34,28.84,37.76,28.95,,,29.29,29.11
2025-06-24 15:35:01.04,33.32,28.84,37.8,28.95,,,29.33,28.79
2025-06-24 15:35:02.17,33.29,28.86,37.82,28.95,,,29.35,28.77
2025-06-24 15:35:03.29,33.26,28.84,37.79,28.93,,,29.35,28.83
2025-06-24 15:35:04.47,33.24,28.84,37.72,28.93,,,29.31,29.29
2025-06-24 15:35:05.61,33.26,28.86,37.64,28.93,,,29.35,29.19
2025-06-24 15:35:06.76,33.24,28.86,37.6,28.95,,,29.37,29.75
2025-06-24 15:35:07.88,33.2,28.86,37.57,28.95,,,29.35,29.65
2025-06-24 15:35:09.02,33.17,28.84,37.56,28.97,,,29.33,30.05
2025-06-24 15:35:10.19,33.15,28.88,37.56,28.97,,,29.33,30.37
2025-06-24 15:35:11.33,33.14,28.86,37.55,28.93,,,29.33,30.59
2025-06-24 15:35:12.46,33.21,28.88,37.56,28.97,,,29.31,30.87
2025-06-24 15:35:13.57,33.2,28.86,37.6,28.95,,,29.35,31.47
2025-06-24 15:35:14.70,33.16,28.86,37.61,28.99,,,29.29,31.71
2025-06-24 15:35:15.89,33.17,28.88,37.61,28.93,,,29.33,32.05
2025-06-24 15:35:17.03,33.32,28.9,37.93,29.01,,,29.33,32.39
2025-06-24 15:35:18.15,33.6,28.88,38.1,28.99,,,29.35,32.63
2025-06-24 15:35:19.29,33.69,28.9,38.09,29.01,,,29.33,33.19
2025-06-24 15:35:20.42,33.64,28.9,38.05,29.01,,,29.31,33.69
2025-06-24 15:35:21.61,33.56,28.9,38.01,29.01,,,29.35,34.13
2025-06-24 15:35:22.74,33.5,28.88,37.96,29.01,,,29.33,34.21
2025-06-24 15:35:23.91,33.49,28.88,37.94,28.99,,,29.35,34.97
2025-06-24 15:35:25.04,33.52,28.88,37.96,28.99,,,29.35,35.09
2025-06-24 15:35:26.16,33.51,28.88,37.96,29.01,,,29.33,35.37
2025-06-24 15:35:27.35,33.55,28.9,37.94,29.03,,,29.35,36.31
2025-06-24 15:35:28.50,33.57,28.88,38.02,29.06,,,29.35,36.09
2025-06-24 15:35:29.62,33.6,28.9,38.04,29.06,,,29.35,36.89
2025-06-24 15:35:30.77,33.59,28.9,38.01,29.06,,,29.37,36.85
2025-06-24 15:35:31.90,33.58,28.88,38.01,29.08,,,29.41,37.75
