iteration,iteration_since_maintenance,wait_time,cook_time,cooldown_time,duration_till_handover,duration_total,duration_cc_flow,baseline_env_EnvH,baseline_env_EnvT,before_turn_on_env_InH,before_turn_on_env_InT,before_turn_on_env_IrO,before_turn_on_env_IrA,after_flow_start_env_InH,after_flow_start_env_InT,after_flow_start_env_IrO,after_flow_start_env_IrA,after_flow_end_env_InH,after_flow_end_env_InT,after_flow_end_env_IrO,after_flow_end_env_IrA,before_cooldown_env_InH,before_cooldown_env_InT,before_cooldown_env_IrO,before_cooldown_env_IrA,after_cooldown_env_InH,after_cooldown_env_InT,after_cooldown_env_IrO,after_cooldown_env_IrA
14,10,102.00,105.00,60.00,297.14,479.32,70.28,61.72,23.91,64.94,24.21,24.39,24.61,50.20,30.84,56.93,25.55,41.96,35.35,70.95,27.79,36.53,38.81,76.15,29.63,36.57,38.56,58.83,29.81
16,12,50.00,50.00,60.00,188.25,458.43,44.73,63.35,23.27,50.66,29.40,31.75,28.45,45.66,32.52,57.73,26.99,40.87,35.49,66.53,27.61,36.30,38.64,76.15,31.31,36.92,37.96,56.29,31.07
17,13,55.00,55.00,60.00,200.33,445.73,51.21,63.08,23.36,37.11,37.90,55.75,31.05,38.86,36.60,61.67,30.59,35.75,39.03,70.43,30.65,34.52,39.85,73.83,31.33,35.44,39.05,58.27,31.01
18,14,60.00,60.00,60.00,208.95,471.62,40.51,63.23,23.29,35.61,38.85,57.99,31.01,37.83,37.24,62.19,30.67,34.10,40.41,72.41,30.51,33.00,41.15,78.83,31.13,33.93,40.19,59.97,31.15
19,15,65.00,65.00,60.00,222.14,445.62,38.27,63.12,23.29,34.08,40.11,59.23,31.21,36.44,38.24,62.19,30.99,34.78,39.62,70.41,30.81,32.69,41.41,74.77,30.81,33.44,40.73,60.17,30.47
20,16,70.00,70.00,60.00,236.14,590.78,21.41,63.14,23.40,33.75,40.43,58.07,30.39,35.07,39.58,67.99,30.31,34.22,40.17,71.23,30.63,32.98,41.49,75.29,30.93,34.31,40.13,56.77,30.09
21,17,75.00,75.00,60.00,244.04,502.14,61.73,64.17,23.23,34.66,39.81,53.63,30.07,37.31,37.84,61.11,29.65,33.94,40.70,74.91,30.27,33.57,40.64,72.81,29.85,35.05,39.30,55.09,29.33
22,18,80.00,80.00,60.00,254.11,532.74,57.53,64.92,22.87,35.33,39.09,53.89,29.33,37.83,37.45,61.69,29.19,33.09,41.28,74.03,29.97,34.23,40.22,69.67,30.29,35.76,38.90,55.33,29.73
23,19,100.00,80.00,60.00,270.89,579.56,62.13,62.07,21.64,64.28,22.26,21.85,22.39,49.82,29.12,54.63,23.73,42.43,33.07,66.07,25.59,36.22,36.90,70.17,27.17,36.91,36.18,54.33,26.75
24,20,90.00,70.00,60.00,247.82,463.77,74.77,61.04,21.98,37.23,36.01,55.47,26.81,38.30,35.39,62.53,27.29,35.49,37.56,78.25,29.39,33.24,39.07,67.15,28.63,33.24,39.07,67.15,28.63
25,21,80.00,60.00,60.00,224.65,591.07,27.79,60.52,21.96,33.44,38.90,67.53,28.69,33.25,39.15,67.37,29.55,32.41,39.15,71.69,29.61,32.88,39.30,75.19,28.97,33.46,38.73,58.53,28.57
26,22,70.00,50.00,60.00,212.86,457.70,55.43,59.87,22.13,33.79,38.43,54.23,28.57,35.84,36.75,60.23,28.63,31.92,40.30,72.59,29.41,32.79,39.39,75.43,29.67,33.81,38.36,58.21,29.51
27,23,60.00,40.00,60.00,189.26,494.53,80.94,60.25,22.17,34.02,38.22,59.35,29.51,36.00,36.69,60.61,29.23,32.10,40.19,76.11,29.87,32.32,39.92,72.93,30.37,33.83,38.34,53.81,29.71
28,24,50.00,30.00,60.00,169.44,414.62,36.40,60.19,22.23,34.16,38.13,54.43,29.67,34.40,38.32,69.71,29.07,33.20,39.17,71.19,29.59,31.76,40.49,68.61,29.73,33.36,38.88,53.21,29.13
29,25,40.00,20.00,60.00,151.95,402.93,86.13,60.48,22.32,33.76,38.49,51.33,29.11,36.10,36.86,60.15,28.63,33.22,39.37,75.89,29.07,31.55,40.85,69.93,29.85,32.95,39.35,52.89,29.43
