iteration,batch_number,stick_number,index_log,stick_weight,sugar_amount,iteration_since_maintenance,wait_time,cook_time,cooldown_time,duration_till_handover,duration_total,show_start_time,show_end_time,duration_cc_flow,diff_flow,diff_flow_stop,baseline_env_EnvH,baseline_env_EnvT,before_turn_on_env_InH,before_turn_on_env_InT,before_turn_on_env_IrO,before_turn_on_env_IrA,after_flow_start_env_InH,after_flow_start_env_InT,after_flow_start_env_IrO,after_flow_start_env_IrA,after_flow_end_env_InH,after_flow_end_env_InT,after_flow_end_env_IrO,after_flow_end_env_IrA,before_cooldown_env_InH,before_cooldown_env_InT,before_cooldown_env_IrO,before_cooldown_env_IrA,after_cooldown_env_InH,after_cooldown_env_InT,after_cooldown_env_IrO,after_cooldown_env_IrA,touch_pos1,touch_pos2,touch_pos3,max_pos1,max_pos2,max_pos3,cc_weight
0,0,0,61169,1.80,1,0,102.00,105.00,60.00,286.56,524.56,47:32,49:11,98.90,19.04,12.94,63.73,24.59,39.26,37.90,25.67,25.99,50.03,32.05,60.73,27.07,39.62,38.11,87.29,30.07,,,,,37.22,39.28,59.73,31.33,,,,,,,
1,0,1,61177,1.80,1,1,102.00,105.00,60.00,289.77,478.86,54:58,55:51,53.71,-62.26,-113.56,62.78,24.65,37.33,39.20,59.01,31.41,39.26,37.90,65.47,31.07,35.94,40.66,77.81,31.51,33.11,42.66,84.57,31.43,34.42,41.36,62.35,31.09,,,,,,,
2,0,2,61184,1.80,1,2,102.00,105.00,60.00,287.95,484.25,02:51,03:42,51.01,-66.88,-120.87,62.49,24.72,34.53,41.30,61.77,31.05,36.72,39.58,66.27,31.09,33.25,42.66,79.31,31.69,32.37,43.28,79.87,31.89,34.14,41.51,59.33,31.37,,,,,,,
3,0,3,61191,1.80,1,3,102.00,105.00,60.00,292.07,438.94,11:04,12:07,62.88,-59.82,-101.94,62.44,24.72,34.24,41.45,58.45,31.29,36.89,39.47,66.15,31.15,31.62,44.17,80.85,32.23,32.00,43.55,79.03,31.93,32.04,43.49,74.67,31.87,,,,,,,
4,1,0,61233,1.80,1,0,102.00,105.00,60.00,286.41,466.78,08:33,09:34,60.96,14.48,-29.56,60.44,23.63,62.36,24.53,25.47,25.29,49.03,30.76,58.79,26.11,41.48,35.09,74.01,28.25,35.41,39.11,80.31,30.17,36.02,38.41,57.73,29.85,,,,34.85,2.58,13.55,
5,1,1,61240,1.80,1,1,94.00,95.00,60.00,278.77,540.23,15:03,15:39,35.20,-58.47,-118.28,60.35,23.80,36.10,38.34,58.15,29.91,38.22,36.79,61.63,30.07,36.12,38.60,69.87,30.03,32.86,41.13,77.75,31.03,33.57,40.39,60.31,30.95,,,,22.04,3.88,6.38,
6,1,2,61247,1.80,1,2,78.00,75.00,60.00,232.58,428.90,23:55,24:44,48.69,-49.45,-75.76,60.13,24.00,33.64,40.32,61.21,30.95,35.77,38.73,62.75,31.25,34.24,39.98,74.37,31.35,,,,,32.96,40.96,61.81,31.41,,,,18.22,7.51,2.80,
7,1,3,61254,1.80,1,3,54.00,45.00,60.00,181.31,426.19,31:06,32:09,63.30,-23.54,-5.24,60.18,24.08,33.03,40.94,60.77,31.41,35.25,39.20,63.25,31.47,32.37,41.70,76.21,31.89,32.14,41.91,76.21,31.69,32.81,41.21,61.37,31.53,,,,28.39,10.24,22.80,
8,1,4,61261,1.80,1,4,22.00,5.00,60.00,111.16,293.10,38:12,38:38,25.82,8.23,29.05,60.22,24.14,32.87,41.15,61.29,31.55,35.03,39.39,62.97,31.63,34.10,40.28,68.37,31.45,32.14,42.00,72.19,32.35,33.40,40.79,56.79,31.95,,,,21.11,3.93,18.12,
9,1,5,61268,1.80,1,5,-18.00,-45.00,60.00,80.98,,43:17,44:13,55.89,57.97,158.87,60.50,24.16,33.50,40.66,55.81,31.89,36.03,38.68,61.93,31.23,32.21,42.28,74.89,31.63,,,,,35.18,39.17,45.07,30.67,,,,,,,
