iteration,batch_number,stick_number,pos1_pressures,pos2_pressures,pos3_pressures
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
1,0,1,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
2,0,2,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
3,0,3,,,
