feature,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson,abs_spearman
after_cooldown_env_InH,0.6837934944686503,5.823026385804228e-14,0.7059662156123439,3.861380972093811e-15,0.6837934944686503,0.7059662156123439
after_flow_end_env_InH,0.6559419218005305,1.2769105800947302e-12,0.6948074967069233,1.5597933167727884e-14,0.6559419218005305,0.6948074967069233
before_cooldown_env_InH,0.650176438689511,2.3250263879792698e-12,0.6644934574300942,5.12363721904595e-13,0.650176438689511,0.6644934574300942
baseline_env_EnvT,0.6400742255975209,6.445594211997144e-12,0.7114519863073865,1.897584285763428e-15,0.6400742255975209,0.7114519863073865
after_flow_end_env_IrO,0.638818221025424,7.297619738779016e-12,0.6165992370824182,5.993928896692172e-11,0.638818221025424,0.6165992370824182
before_cooldown_env_IrO,0.6384891532134999,7.538184962136403e-12,0.633995970036103,1.1692791309991894e-11,0.6384891532134999,0.633995970036103
baseline_env_EnvH,0.562103009528373,5.530692939830668e-09,0.6002242577985903,2.5536232838558806e-10,0.562103009528373,0.6002242577985903
after_flow_start_env_IrO,0.5535953802449577,1.0430632094785592e-08,0.5253869601137418,7.566600020596453e-08,0.5535953802449577,0.5253869601137418
cooldown_time,0.5098044230390336,2.0975409428476325e-07,0.6192192251834479,4.716354935945965e-11,0.5098044230390336,0.6192192251834479
wait_time,-0.4376874064410957,1.2831671769560107e-05,-0.36828267495484474,0.00030388022607903686,0.4376874064410957,0.36828267495484474
after_flow_start_env_InH,0.43393930138860004,1.5505358736883994e-05,0.5905752706816166,5.776908962866676e-10,0.43393930138860004,0.5905752706816166
before_cooldown_env_IrA,0.31673743612202165,0.002097189137246454,0.3386534939190045,0.0009600546064976396,0.31673743612202165,0.3386534939190045
after_cooldown_env_IrA,0.2728385371071165,0.00850545351517544,0.25327265411030875,0.014852767889664713,0.2728385371071165,0.25327265411030875
before_cooldown_env_InT,0.261465944474703,0.011816990448345744,0.27526068010113797,0.00791631202354284,0.261465944474703,0.27526068010113797
duration_till_handover,-0.23053608955254856,0.027045367697815997,-0.3227514246876936,0.0017020891859268932,0.23053608955254856,0.3227514246876936
before_turn_on_env_InH,0.22794402029424743,0.028865073251357516,0.5878395561206796,7.246112273416097e-10,0.22794402029424743,0.5878395561206796
after_cooldown_env_IrO,0.19728558059971107,0.05943045607116403,0.17632280641570472,0.09270356029955654,0.19728558059971107,0.17632280641570472
duration_total,-0.18610434570854129,0.07570065275914252,-0.09652796775794013,0.36001076107690133,0.18610434570854129,0.09652796775794013
efficiency_ratio,-0.15745161650366568,0.13388902581887238,0.00011559357299734134,0.9991274535210157,0.15745161650366568,0.00011559357299734134
after_flow_start_env_IrA,0.1444526985283323,0.16949917096745334,0.2016846552545958,0.053867230845899755,0.1444526985283323,0.2016846552545958
before_turn_on_env_IrA,0.14032283825609793,0.18215849210292367,0.2474761099247826,0.017389138456049984,0.14032283825609793,0.2474761099247826
temp_stability,0.11491616342831439,0.27536754619471726,0.054151527178272825,0.6081765812389791,0.11491616342831439,0.054151527178272825
after_flow_end_env_InT,-0.09730687892782348,0.35612921949443826,-0.12826293088539886,0.22304386967259895,0.09730687892782348,0.12826293088539886
before_turn_on_env_InT,-0.09300135548651581,0.3779097350956676,0.07250090567660934,0.4922082293375577,0.09300135548651581,0.07250090567660934
after_cooldown_env_InT,0.09132490533102229,0.3866041198578014,0.07603819929420215,0.47127580856339935,0.09132490533102229,0.07603819929420215
before_turn_on_env_IrO,0.0724713709571967,0.4923850447284543,0.18245989881883673,0.0817167889440668,0.0724713709571967,0.18245989881883673
after_flow_end_env_IrA,0.07198568530582422,0.49529749429539877,0.03904931454016192,0.7117045379892262,0.07198568530582422,0.03904931454016192
iteration_since_maintenance,-0.045549620109530044,0.6663615121582948,-0.028493805534809766,0.7874518860993853,0.045549620109530044,0.028493805534809766
after_flow_start_env_InT,0.03143675107132271,0.766098907120558,0.10794491224831397,0.30573548045603066,0.03143675107132271,0.10794491224831397
duration_cc_flow,-0.013496791907473833,0.8983923567562629,0.07821061149000115,0.458663611786545,0.013496791907473833,0.07821061149000115
total_control_time,-0.012234807014714511,0.9078491365980071,-0.016456383593978656,0.876272286650073,0.012234807014714511,0.016456383593978656
cook_time,-0.009155810759389746,0.9309731486552605,-0.07151489839353524,0.4981292132692998,0.009155810759389746,0.07151489839353524
