feature,f_score_rank,mi_rank,tree_importance_rank,linear_coef_rank,avg_rank,f_score,mutual_info,avg_importance,avg_abs_coef
after_flow_end_env_InH,2.0,5.0,4.0,3.0,3.5,67.96673774178697,0.3674233419543129,0.051115557216412005,5.612952633281348
before_cooldown_env_IrO,6.0,12.0,1.0,8.0,6.75,61.9419187044997,0.25952373016379937,0.2399451172128305,3.9766620585706254
wait_time,10.0,2.0,12.0,4.0,7.0,21.326929463188666,0.41980158878457985,0.02453818426002917,5.179048983525823
baseline_env_EnvT,4.0,1.0,2.0,22.0,7.25,62.46356066151513,0.46067723783925985,0.14963406305280644,1.2370767540730327
after_flow_end_env_IrO,5.0,9.0,3.0,16.0,8.25,62.049813827027066,0.2984150110403818,0.05216281712985135,2.6815331458550795
after_flow_start_env_IrO,8.0,3.0,5.0,19.0,8.75,39.77047906842326,0.4182668012943531,0.04788124046796838,1.2611182997408739
cooldown_time,9.0,6.0,16.0,12.0,10.75,31.605278817081125,0.3474516805879735,0.01990405301380232,3.6936344322673893
before_cooldown_env_InH,3.0,8.0,14.0,20.0,11.25,65.9060867164672,0.308608472271819,0.020174024158351678,1.256125346383486
baseline_env_EnvH,7.0,4.0,8.0,29.0,12.0,41.57121338954143,0.36843245976783345,0.03412298238973197,0.17933952023056818
after_cooldown_env_InH,1.0,10.0,11.0,31.0,13.25,79.03743010863735,0.28422889570568666,0.02543762979646493,0.09930342757050954
before_cooldown_env_IrA,12.0,16.0,18.0,7.0,13.25,10.035857679916758,0.19626650930788525,0.016808826163836596,4.005814321210001
after_flow_start_env_IrA,20.0,19.0,13.0,1.0,13.25,1.9180148034798896,0.16413358579582749,0.020562017777730576,8.360891783428185
after_flow_start_env_InH,11.0,7.0,15.0,23.0,14.0,20.87885649535638,0.31287022675625353,0.019935230628243636,0.8014424960779611
before_turn_on_env_IrO,26.0,18.0,10.0,2.0,14.0,0.475184682039871,0.1757934637754497,0.026925374898286985,6.834902668741575
efficiency_ratio,19.0,21.0,7.0,18.0,16.25,2.2879106580919393,0.16242093824616521,0.04054254121603257,2.1240761271407838
before_turn_on_env_InH,16.0,11.0,23.0,17.0,16.75,4.932550693660007,0.27344624826389374,0.008791182067958958,2.421584975968441
after_cooldown_env_IrA,13.0,26.0,6.0,26.0,17.75,7.238519747998332,0.06513192838975668,0.04200998358993769,0.5805279004842467
after_cooldown_env_IrO,17.0,25.0,25.0,5.0,18.0,3.6448056987547517,0.09387147537391716,0.007721701991542177,4.322642343030153
duration_till_handover,15.0,15.0,30.0,13.0,18.25,5.051702228251714,0.22384546510085013,0.006099882500286545,3.1745585912959076
duration_total,18.0,27.0,21.0,9.0,18.75,3.2289692678106987,0.05122907298240875,0.00959774488830112,3.969687573982903
before_cooldown_env_InT,14.0,23.0,28.0,14.0,19.75,6.604298800701801,0.11938474666346055,0.006470107414942343,3.14983598498378
duration_cc_flow,30.0,28.0,17.0,6.0,20.25,0.0163976923206796,0.043122912394806256,0.01940789354477328,4.168892682779994
total_control_time,31.0,13.0,9.0,28.0,20.25,0.0134741621959693,0.25847487417694337,0.032727280725514084,0.534280013067118
before_turn_on_env_InT,24.0,29.0,19.0,10.0,20.5,0.7852242939001597,0.02884929800263958,0.0163098250460994,3.9665725298233645
after_flow_end_env_IrA,27.0,20.0,31.0,11.0,22.25,0.4688038127139463,0.16350202167596217,0.005873510387029871,3.876972516436849
iteration_since_maintenance,28.0,22.0,20.0,21.0,22.75,0.18711733533042907,0.12280481297917678,0.01283744852667175,1.2554112436909368
before_turn_on_env_IrA,21.0,17.0,24.0,30.0,23.0,1.8077402109631842,0.176069577948339,0.008650663728175917,0.13498315845302286
cook_time,32.0,14.0,27.0,24.0,24.25,0.007545230867740382,0.24232682163106123,0.007296832278501299,0.7074185683153978
after_flow_end_env_InT,23.0,31.0,29.0,15.0,24.5,0.8603226575959964,0.0,0.006131648766782554,3.041480715701558
temp_stability,22.0,31.0,22.0,27.0,25.5,1.2044204604615119,0.0,0.00892085376676504,0.5457344584524256
after_flow_start_env_InT,29.0,24.0,26.0,25.0,26.0,0.08903222643051134,0.11238607287877311,0.007660301120046939,0.6652164654748546
after_cooldown_env_InT,25.0,31.0,32.0,32.0,30.0,0.7569344638666032,0.0,0.0038034802742920298,0.03910952732473774
