iteration_since_maintenance,wait_time,cook_time,cooldown_time,duration_till_handover,duration_total,duration_cc_flow,baseline_env_EnvH,baseline_env_EnvT,before_turn_on_env_InH,before_turn_on_env_InT,before_turn_on_env_IrO,before_turn_on_env_IrA,after_flow_start_env_InH,after_flow_start_env_InT,after_flow_start_env_IrO,after_flow_start_env_IrA,after_flow_end_env_InH,after_flow_end_env_InT,after_flow_end_env_IrO,after_flow_end_env_IrA,before_cooldown_env_InH,before_cooldown_env_InT,before_cooldown_env_IrO,before_cooldown_env_IrA,after_cooldown_env_InH,after_cooldown_env_InT,after_cooldown_env_IrO,after_cooldown_env_IrA,total_control_time,efficiency_ratio,temp_stability
52.0,102.0,105.0,60.0,286.56,524.56,98.9,63.73,24.59,39.26,37.9,25.67,25.99,50.03,32.05,60.73,27.07,39.62,38.11,87.29,30.07,34.67666666666667,41.15666666666667,76.99666666666667,31.55666666666667,37.22,39.28,59.73,31.33,267.0,0.9419047619047619,3.4123138125845895
53.0,102.0,105.0,60.0,289.77,478.86,53.71,62.78,24.65,37.33,39.2,59.01,31.41,39.26,37.9,65.47,31.07,35.94,40.66,77.81,31.51,33.09,42.7,83.27,31.45,34.42,41.36,62.35,31.09,267.0,0.5115238095238095,1.8683361581899556
54.0,102.0,105.0,60.0,287.95,484.25,51.01,62.49,24.72,34.53,41.3,61.77,31.05,36.72,39.58,66.27,31.09,33.25,42.66,79.31,31.69,32.36,42.949999999999996,80.52999999999999,31.956666666666667,34.14,41.51,59.33,31.37,267.0,0.4858095238095238,1.3345973175456325
55.0,102.0,105.0,60.0,292.07,438.94,62.88,62.44,24.72,34.24,41.45,58.45,31.29,36.89,39.47,66.15,31.15,31.62,44.17,80.85,32.23,32.01,43.53,77.57,31.91,32.04,43.49,74.67,31.87,267.0,0.5988571428571429,1.9418341844761111
0.0,102.0,105.0,60.0,286.41,466.78,60.96,60.44,23.63,62.36,24.53,25.47,25.29,49.03,30.76,58.79,26.11,41.48,35.09,74.01,28.25,35.35,39.15,78.99,30.21,36.02,38.41,57.73,29.85,267.0,0.5805714285714286,6.051621270370444
1.0,94.0,95.0,60.0,278.77,540.23,35.2,60.35,23.8,36.1,38.34,58.15,29.91,38.22,36.79,61.63,30.07,36.12,38.6,69.87,30.03,33.26,41.16,74.41000000000001,30.883333333333336,33.57,40.39,60.31,30.95,249.0,0.3705263157894737,1.7364993521449976
2.0,78.0,75.0,60.0,232.58,428.9,48.69,60.13,24.0,33.64,40.32,61.21,30.95,35.77,38.73,62.75,31.25,34.24,39.98,74.37,31.35,32.50333333333333,41.13,76.76333333333334,31.05666666666667,32.96,40.96,61.81,31.41,213.0,0.6492,0.9569900730937622
3.0,54.0,45.0,60.0,181.31,426.19,63.3,60.18,24.08,33.03,40.94,60.77,31.41,35.25,39.2,63.25,31.47,32.37,41.7,76.21,31.89,32.13,41.94,77.71,31.71,32.81,41.21,61.37,31.53,159.0,1.4066666666666665,1.0794998842056434
4.0,22.0,5.0,60.0,111.16,293.1,25.82,60.22,24.14,32.87,41.15,61.29,31.55,35.03,39.39,62.97,31.63,34.1,40.28,68.37,31.45,32.12,42.04,71.77,32.37,33.4,40.79,56.79,31.95,87.0,5.164,0.9866863736770659
6.0,102.0,105.0,60.0,288.13,474.44,63.01,60.41,24.29,35.35,39.03,27.41,26.99,45.82,32.86,58.47,27.67,38.97,37.24,71.95,29.81,34.06,40.77,77.79,32.41,34.64,40.13,58.45,32.13,267.0,0.6000952380952381,3.172842574096611
7.0,94.0,95.0,60.0,276.37,472.5,58.07,60.8,24.36,34.71,40.07,58.29,32.07,37.07,38.3,62.85,31.83,32.95,41.87,76.23,32.07,31.98,42.62,80.75,32.51,32.45,41.98,61.87,32.35,249.0,0.6112631578947368,1.7671643952954685
8.0,86.0,85.0,60.0,345.43,592.13,53.61,60.77,24.36,32.49,41.96,60.53,32.37,37.29,38.15,62.47,32.05,33.69,41.15,74.31,32.13,31.79,42.74,72.33,32.43,33.3,41.21,56.03,31.93,231.0,0.6307058823529411,1.7413701501978274
9.0,78.0,75.0,60.0,238.43,420.24,58.04,60.83,24.4,33.37,41.13,55.41,31.91,35.89,39.22,62.71,31.57,33.03,41.72,74.13,31.83,32.03,42.59,80.09,32.69,32.04,42.64,80.15,32.69,213.0,0.7738666666666667,1.4020877290669094
10.0,102.0,105.0,60.0,297.14,479.32,70.28,61.72,23.91,64.94,24.21,24.39,24.61,50.2,30.84,56.93,25.55,41.96,35.35,70.95,27.79,36.53,38.81,76.15,29.63,36.57,38.56,58.83,29.81,267.0,0.6693333333333333,6.1357012639143385
12.0,50.0,50.0,60.0,188.25,458.43,44.73,63.35,23.27,50.66,29.4,31.75,28.45,45.66,32.52,57.73,26.99,40.87,35.49,66.53,27.61,36.3,38.64,76.15,31.31,36.92,37.96,56.29,31.07,160.0,0.8946,3.8589402690376025
13.0,55.0,55.0,60.0,200.33,445.73,51.21,63.08,23.36,37.11,37.9,55.75,31.05,38.86,36.6,61.67,30.59,35.75,39.03,70.43,30.65,34.52,39.85,73.83,31.33,35.44,39.05,58.27,31.01,170.0,0.9310909090909091,1.2624301960900648
14.0,60.0,60.0,60.0,208.95,471.62,40.51,63.23,23.29,35.61,38.85,57.99,31.01,37.83,37.24,62.19,30.67,34.1,40.41,72.41,30.51,33.0,41.15,78.83,31.13,33.93,40.19,59.97,31.15,180.0,0.6751666666666666,1.5438328925113607
15.0,65.0,65.0,60.0,222.14,445.62,38.27,63.12,23.29,34.08,40.11,59.23,31.21,36.44,38.24,62.19,30.99,34.78,39.62,70.41,30.81,32.69,41.41,74.77,30.81,33.44,40.73,60.17,30.47,190.0,0.5887692307692308,1.2013201072153896
