feature,RandomForest_importance,GradientBoosting_importance,ExtraTrees_importance,avg_importance
before_cooldown_env_IrO,0.2357841547403298,0.38830439395731875,0.09574680294084291,0.2399451172128305
baseline_env_EnvT,0.19352231260923156,0.14064075896657816,0.11473911758260955,0.14963406305280644
after_flow_end_env_IrO,0.01927122517427426,0.009746726665101776,0.12747049955017803,0.05216281712985135
after_flow_end_env_InH,0.09432406408740823,0.003983737155785467,0.05503887040604231,0.051115557216412005
after_flow_start_env_IrO,0.021221368850388674,0.02815713411167669,0.09426521844183978,0.04788124046796838
after_cooldown_env_IrA,0.02558957477040732,0.08917328753585312,0.011267088463552646,0.04200998358993769
efficiency_ratio,0.03816717147717657,0.03677623277222703,0.0466842193986941,0.04054254121603257
baseline_env_EnvH,0.048326298767660564,0.011486797937157399,0.042555850464377966,0.03412298238973197
total_control_time,0.02871924192323475,0.052219700087499724,0.01724290016580778,0.032727280725514084
before_turn_on_env_IrO,0.015413538547507748,0.03847115477479178,0.026891431372561416,0.026925374898286985
after_cooldown_env_InH,0.017774649802192705,0.02573665987751522,0.03280157970968687,0.02543762979646493
wait_time,0.018084650434041494,0.02167471204041571,0.033855190305630306,0.02453818426002917
after_flow_start_env_IrA,0.013557303987593538,0.03319636467363312,0.014932384671965077,0.020562017777730576
before_cooldown_env_InH,0.03224804848502006,0.002791325097802193,0.025482698892232775,0.020174024158351678
after_flow_start_env_InH,0.016452616689131058,0.019601339091620824,0.023751736103979026,0.019935230628243636
cooldown_time,0.018302547474389353,0.000508198776101175,0.04090141279091643,0.01990405301380232
duration_cc_flow,0.020324385529243327,0.014123043353947266,0.023776251751129254,0.01940789354477328
before_cooldown_env_IrA,0.013823184786893762,0.008817521521823113,0.027785772182792913,0.016808826163836596
before_turn_on_env_InT,0.014594523911985008,0.027420428481345648,0.006914522744967546,0.0163098250460994
iteration_since_maintenance,0.013221471834839526,0.010363828273769953,0.014927045471405772,0.01283744852667175
duration_total,0.011068921824833513,0.005192612811766171,0.012531700028303679,0.00959774488830112
temp_stability,0.011453086197409885,0.007199775509725258,0.00810969959315998,0.00892085376676504
before_turn_on_env_InH,0.021101520960177148,0.0004894524113617518,0.0047825728323379725,0.008791182067958958
before_turn_on_env_IrA,0.010457641018176107,0.0022502814030056478,0.013244068763345995,0.008650663728175917
after_cooldown_env_IrO,0.007822187515408913,0.0028653131446273058,0.012477605314590313,0.007721701991542177
after_flow_start_env_InT,0.004188823355307605,0.0031189177591018436,0.015673162245731367,0.007660301120046939
cook_time,0.005542528325518152,0.00030160746525908415,0.016046361044726662,0.007296832278501299
before_cooldown_env_InT,0.005069147187363475,0.007952594671074193,0.0063885803863893585,0.006470107414942343
after_flow_end_env_InT,0.00495946184400466,0.0028479562482589984,0.010587528208084004,0.006131648766782554
duration_till_handover,0.005421102043961573,0.004422832239173423,0.008455713217724639,0.006099882500286545
after_flow_end_env_IrA,0.0073766630794805665,2.145511183469865e-05,0.010222412969774346,0.005873510387029871
after_cooldown_env_InT,0.006816582765409232,0.0001438560728474857,0.004450001984619372,0.0038034802742920298
