feature,f_score,f_pvalue,mutual_info,f_score_rank,mi_rank
after_cooldown_env_InH,79.03743010863735,5.823026385799888e-14,0.28422889570568666,1.0,10.0
after_flow_end_env_InH,67.96673774178697,1.2769105800927016e-12,0.3674233419543129,2.0,5.0
before_cooldown_env_InH,65.9060867164672,2.3250263879876656e-12,0.308608472271819,3.0,8.0
baseline_env_EnvT,62.46356066151513,6.445594212029028e-12,0.46067723783925985,4.0,1.0
after_flow_end_env_IrO,62.049813827027066,7.297619738778183e-12,0.2984150110403818,5.0,9.0
before_cooldown_env_IrO,61.9419187044997,7.538184962142344e-12,0.25952373016379937,6.0,12.0
baseline_env_EnvH,41.57121338954143,5.530692939808311e-09,0.36843245976783345,7.0,4.0
after_flow_start_env_IrO,39.77047906842326,1.0430632094786606e-08,0.4182668012943531,8.0,3.0
cooldown_time,31.605278817081125,2.0975409428476005e-07,0.3474516805879735,9.0,6.0
wait_time,21.326929463188666,1.2831671769560045e-05,0.41980158878457985,10.0,2.0
after_flow_start_env_InH,20.87885649535638,1.550535873688105e-05,0.31287022675625353,11.0,7.0
before_cooldown_env_IrA,10.035857679916758,0.0020971891372476193,0.19626650930788525,12.0,16.0
after_cooldown_env_IrA,7.238519747998332,0.008505453515180434,0.06513192838975668,13.0,26.0
before_cooldown_env_InT,6.604298800701801,0.011816990448332773,0.11938474666346055,14.0,23.0
duration_till_handover,5.051702228251714,0.027045367697815997,0.22384546510085013,15.0,15.0
before_turn_on_env_InH,4.932550693660007,0.028865073251358425,0.27344624826389374,16.0,11.0
after_cooldown_env_IrO,3.6448056987547517,0.05943045607116429,0.09387147537391716,17.0,25.0
duration_total,3.2289692678106987,0.0757006527591425,0.05122907298240875,18.0,27.0
efficiency_ratio,2.2879106580919393,0.13388902581887185,0.16242093824616521,19.0,21.0
after_flow_start_env_IrA,1.9180148034798896,0.1694991709674224,0.16413358579582749,20.0,19.0
before_turn_on_env_IrA,1.8077402109631842,0.18215849210292634,0.176069577948339,21.0,17.0
temp_stability,1.2044204604615119,0.2753675461947188,0.0,22.0,31.0
after_flow_end_env_InT,0.8603226575959964,0.35612921949448684,0.0,23.0,31.0
before_turn_on_env_InT,0.7852242939001597,0.37790973509566883,0.02884929800263958,24.0,29.0
after_cooldown_env_InT,0.7569344638666032,0.38660411985776255,0.0,25.0,31.0
before_turn_on_env_IrO,0.475184682039871,0.4923850447284568,0.1757934637754497,26.0,18.0
after_flow_end_env_IrA,0.4688038127139463,0.49529749429533976,0.16350202167596217,27.0,20.0
iteration_since_maintenance,0.18711733533042907,0.6663615121582974,0.12280481297917678,28.0,22.0
after_flow_start_env_InT,0.08903222643051134,0.7660989071205477,0.11238607287877311,29.0,24.0
duration_cc_flow,0.0163976923206796,0.8983923567562583,0.043122912394806256,30.0,28.0
total_control_time,0.0134741621959693,0.9078491365979701,0.25847487417694337,31.0,13.0
cook_time,0.007545230867740382,0.930973148655276,0.24232682163106123,32.0,14.0
