iteration,iteration_since_maintenance,wait_time,cook_time,cooldown_time,duration_till_handover,duration_total,duration_cc_flow,baseline_env_EnvH,baseline_env_EnvT,before_turn_on_env_InH,before_turn_on_env_InT,before_turn_on_env_IrO,before_turn_on_env_IrA,after_flow_start_env_InH,after_flow_start_env_InT,after_flow_start_env_IrO,after_flow_start_env_IrA,after_flow_end_env_InH,after_flow_end_env_InT,after_flow_end_env_IrO,after_flow_end_env_IrA,before_cooldown_env_InH,before_cooldown_env_InT,before_cooldown_env_IrO,before_cooldown_env_IrA,after_cooldown_env_InH,after_cooldown_env_InT,after_cooldown_env_IrO,after_cooldown_env_IrA
0,52,102.00,105.00,60.00,286.56,524.56,98.90,63.73,24.59,39.26,37.90,25.67,25.99,50.03,32.05,60.73,27.07,39.62,38.11,87.29,30.07,,,,,37.22,39.28,59.73,31.33
1,53,102.00,105.00,60.00,289.77,478.86,53.71,62.78,24.65,37.33,39.20,59.01,31.41,39.26,37.90,65.47,31.07,35.94,40.66,77.81,31.51,33.09,42.70,83.27,31.45,34.42,41.36,62.35,31.09
2,54,102.00,105.00,60.00,287.95,484.25,51.01,62.49,24.72,34.53,41.30,61.77,31.05,36.72,39.58,66.27,31.09,33.25,42.66,79.31,31.69,,,,,34.14,41.51,59.33,31.37
3,55,102.00,105.00,60.00,292.07,438.94,62.88,62.44,24.72,34.24,41.45,58.45,31.29,36.89,39.47,66.15,31.15,31.62,44.17,80.85,32.23,32.01,43.53,77.57,31.91,32.04,43.49,74.67,31.87
4,0,102.00,105.00,60.00,286.41,466.78,60.96,60.44,23.63,62.36,24.53,25.47,25.29,49.03,30.76,58.79,26.11,41.48,35.09,74.01,28.25,35.35,39.15,78.99,30.21,36.02,38.41,57.73,29.85
5,1,94.00,95.00,60.00,278.77,540.23,35.20,60.35,23.80,36.10,38.34,58.15,29.91,38.22,36.79,61.63,30.07,36.12,38.60,69.87,30.03,,,,,33.57,40.39,60.31,30.95
6,2,78.00,75.00,60.00,232.58,428.90,48.69,60.13,24.00,33.64,40.32,61.21,30.95,35.77,38.73,62.75,31.25,34.24,39.98,74.37,31.35,,,,,32.96,40.96,61.81,31.41
7,3,54.00,45.00,60.00,181.31,426.19,63.30,60.18,24.08,33.03,40.94,60.77,31.41,35.25,39.20,63.25,31.47,32.37,41.70,76.21,31.89,32.13,41.94,77.71,31.71,32.81,41.21,61.37,31.53
8,4,22.00,5.00,60.00,111.16,293.10,25.82,60.22,24.14,32.87,41.15,61.29,31.55,35.03,39.39,62.97,31.63,34.10,40.28,68.37,31.45,32.12,42.04,71.77,32.37,33.40,40.79,56.79,31.95
10,6,102.00,105.00,60.00,288.13,474.44,63.01,60.41,24.29,35.35,39.03,27.41,26.99,45.82,32.86,58.47,27.67,38.97,37.24,71.95,29.81,34.06,40.77,77.79,32.41,34.64,40.13,58.45,32.13
11,7,94.00,95.00,60.00,276.37,472.50,58.07,60.80,24.36,34.71,40.07,58.29,32.07,37.07,38.30,62.85,31.83,32.95,41.87,76.23,32.07,31.98,42.62,80.75,32.51,32.45,41.98,61.87,32.35
12,8,86.00,85.00,60.00,345.43,592.13,53.61,60.77,24.36,32.49,41.96,60.53,32.37,37.29,38.15,62.47,32.05,33.69,41.15,74.31,32.13,31.79,42.74,72.33,32.43,33.30,41.21,56.03,31.93
13,9,78.00,75.00,60.00,238.43,420.24,58.04,60.83,24.40,33.37,41.13,55.41,31.91,35.89,39.22,62.71,31.57,33.03,41.72,74.13,31.83,32.03,42.59,80.09,32.69,32.04,42.64,80.15,32.69
14,10,102.00,105.00,60.00,297.14,479.32,70.28,61.72,23.91,64.94,24.21,24.39,24.61,50.20,30.84,56.93,25.55,41.96,35.35,70.95,27.79,36.53,38.81,76.15,29.63,36.57,38.56,58.83,29.81
16,12,50.00,50.00,60.00,188.25,458.43,44.73,63.35,23.27,50.66,29.40,31.75,28.45,45.66,32.52,57.73,26.99,40.87,35.49,66.53,27.61,36.30,38.64,76.15,31.31,36.92,37.96,56.29,31.07
17,13,55.00,55.00,60.00,200.33,445.73,51.21,63.08,23.36,37.11,37.90,55.75,31.05,38.86,36.60,61.67,30.59,35.75,39.03,70.43,30.65,34.52,39.85,73.83,31.33,35.44,39.05,58.27,31.01
18,14,60.00,60.00,60.00,208.95,471.62,40.51,63.23,23.29,35.61,38.85,57.99,31.01,37.83,37.24,62.19,30.67,34.10,40.41,72.41,30.51,33.00,41.15,78.83,31.13,33.93,40.19,59.97,31.15
19,15,65.00,65.00,60.00,222.14,445.62,38.27,63.12,23.29,34.08,40.11,59.23,31.21,36.44,38.24,62.19,30.99,34.78,39.62,70.41,30.81,32.69,41.41,74.77,30.81,33.44,40.73,60.17,30.47
20,16,70.00,70.00,60.00,236.14,590.78,21.41,63.14,23.40,33.75,40.43,58.07,30.39,35.07,39.58,67.99,30.31,34.22,40.17,71.23,30.63,32.98,41.49,75.29,30.93,34.31,40.13,56.77,30.09
21,17,75.00,75.00,60.00,244.04,502.14,61.73,64.17,23.23,34.66,39.81,53.63,30.07,37.31,37.84,61.11,29.65,33.94,40.70,74.91,30.27,33.57,40.64,72.81,29.85,35.05,39.30,55.09,29.33
22,18,80.00,80.00,60.00,254.11,532.74,57.53,64.92,22.87,35.33,39.09,53.89,29.33,37.83,37.45,61.69,29.19,33.09,41.28,74.03,29.97,34.23,40.22,69.67,30.29,35.76,38.90,55.33,29.73
