feature,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson,abs_spearman
baseline_env_EnvT,0.6400742255975209,6.445594211997144e-12,0.7114519863073865,1.897584285763428e-15,0.6400742255975209,0.7114519863073865
baseline_env_EnvH,0.562103009528373,5.530692939830668e-09,0.6002242577985903,2.5536232838558806e-10,0.562103009528373,0.6002242577985903
wait_time,-0.4376874064410957,1.2831671769560107e-05,-0.36828267495484474,0.00030388022607903686,0.4376874064410957,0.36828267495484474
before_turn_on_env_InH,0.22794402029424743,0.028865073251357516,0.5878395561206796,7.246112273416097e-10,0.22794402029424743,0.5878395561206796
before_turn_on_env_IrA,0.14032283825609793,0.18215849210292367,0.2474761099247826,0.017389138456049984,0.14032283825609793,0.2474761099247826
before_turn_on_env_InT,-0.09300135548651581,0.3779097350956676,0.07250090567660934,0.4922082293375577,0.09300135548651581,0.07250090567660934
before_turn_on_env_IrO,0.0724713709571967,0.4923850447284543,0.18245989881883673,0.0817167889440668,0.0724713709571967,0.18245989881883673
iteration_since_maintenance,-0.045549620109530044,0.6663615121582948,-0.028493805534809766,0.7874518860993853,0.045549620109530044,0.028493805534809766
duration_cc_flow,-0.013496791907473833,0.8983923567562629,0.07821061149000115,0.458663611786545,0.013496791907473833,0.07821061149000115
cook_time,-0.009155810759389746,0.9309731486552605,-0.07151489839353524,0.4981292132692998,0.009155810759389746,0.07151489839353524
