feature,RandomForest_importance,GradientBoosting_importance,ExtraTrees_importance,avg_importance
baseline_env_EnvT,0.3723773964541954,0.5291173081525735,0.33880182178512785,0.4134321754639656
baseline_env_EnvH,0.1899405171506334,0.09271400184681144,0.1767739340433754,0.1531428176802734
before_turn_on_env_IrO,0.06672747272843375,0.09846631387548334,0.08739050957286607,0.08419476539226105
wait_time,0.06800144058776281,0.044099315735798686,0.11789811861587482,0.07666629164647877
before_turn_on_env_InH,0.09684784381412491,0.055276696189883276,0.05546606443775915,0.06919686814725577
duration_cc_flow,0.06301104656070675,0.061446590737054635,0.04512616888454282,0.0565279353941014
before_turn_on_env_IrA,0.05372290114847368,0.032990786128070715,0.046408470799768634,0.04437405269210434
before_turn_on_env_InT,0.0432280612149335,0.04458989740531735,0.03260989060750555,0.04014261640925213
iteration_since_maintenance,0.029287994364100022,0.03526375516310867,0.04778272224284556,0.03744482392335142
cook_time,0.016855325976635974,0.006035334765898325,0.05174229901033413,0.024877653250956144
