feature,importance
before_cooldown_env_InH,0.4723241960291795
after_flow_end_env_IrA,0.17616292880884926
cooldown_time,0.15064520986881744
iteration_since_maintenance,0.12204646680482609
baseline_env_EnvH,0.07138014223733168
wait_time,0.007259611372742498
after_cooldown_env_InT,0.0001814448782535595
before_cooldown_env_InT,0.0
after_flow_end_env_InT,0.0
after_flow_end_env_IrO,0.0
iteration,0.0
before_cooldown_env_IrO,0.0
after_flow_start_env_IrA,0.0
before_cooldown_env_IrA,0.0
after_cooldown_env_InH,0.0
after_cooldown_env_IrO,0.0
after_flow_end_env_InH,0.0
after_flow_start_env_InT,0.0
after_flow_start_env_IrO,0.0
after_flow_start_env_InH,0.0
before_turn_on_env_IrA,0.0
before_turn_on_env_IrO,0.0
before_turn_on_env_InT,0.0
before_turn_on_env_InH,0.0
baseline_env_EnvT,0.0
duration_cc_flow,0.0
duration_total,0.0
duration_till_handover,0.0
cook_time,0.0
after_cooldown_env_IrA,0.0
