feature,importance
after_flow_start_env_IrO,0.267627192814821
before_turn_on_env_IrA,0.21417211948471088
after_cooldown_env_IrA,0.12125354433580174
before_cooldown_env_IrA,0.11277695857506673
before_turn_on_env_InT,0.10847302579958634
iteration,0.09161492951984508
before_cooldown_env_InT,0.08408222947016816
duration_total,0.0
duration_cc_flow,0.0
after_cooldown_env_IrO,0.0
after_cooldown_env_InT,0.0
after_cooldown_env_InH,0.0
wait_time,0.0
before_cooldown_env_IrO,0.0
before_cooldown_env_InH,0.0
after_flow_end_env_IrA,0.0
after_flow_end_env_IrO,0.0
after_flow_end_env_InT,0.0
after_flow_end_env_InH,0.0
after_flow_start_env_IrA,0.0
cook_time,0.0
iteration_since_maintenance,0.0
after_flow_start_env_InH,0.0
cooldown_time,0.0
before_turn_on_env_IrO,0.0
duration_till_handover,0.0
before_turn_on_env_InH,0.0
baseline_env_EnvT,0.0
baseline_env_EnvH,0.0
after_flow_start_env_InT,0.0
