feature,importance
after_flow_end_env_IrA,0.3934797700780798
after_cooldown_env_IrA,0.3100510359296604
duration_total,0.10828124966252245
after_cooldown_env_InT,0.07711912665756986
duration_till_handover,0.06760584013693335
after_flow_end_env_InT,0.03004704006085869
before_cooldown_env_InT,0.0047215791831182715
before_turn_on_env_InT,0.004001903368987984
duration_cc_flow,0.003440494919732307
iteration,0.0012519600025369725
before_turn_on_env_InH,0.0
baseline_env_EnvT,0.0
after_cooldown_env_IrO,0.0
wait_time,0.0
after_cooldown_env_InH,0.0
before_cooldown_env_IrA,0.0
before_cooldown_env_IrO,0.0
cook_time,0.0
before_cooldown_env_InH,0.0
cooldown_time,0.0
after_flow_end_env_IrO,0.0
baseline_env_EnvH,0.0
after_flow_end_env_InH,0.0
after_flow_start_env_IrA,0.0
after_flow_start_env_IrO,0.0
iteration_since_maintenance,0.0
after_flow_start_env_InH,0.0
before_turn_on_env_IrA,0.0
before_turn_on_env_IrO,0.0
after_flow_start_env_InT,0.0
