ElapsedSeconds
0s, EnvH:48.84%, InH:0.00%, EnvT:23.23°C, InT:-45.00°C, IrA1:33.63°C, IrA2:28.91°C, IrO1:41.21°C, IrO2:28.91°C
1s, EnvH:46.37%, InH:44.18%, EnvT:24.12°C, InT:26.31°C, IrA1:33.65°C, IrA2:28.87°C, IrO1:41.29°C, IrO2:28.89°C
2s, EnvH:46.39%, InH:44.19%, EnvT:24.12°C, InT:26.27°C, IrA1:33.67°C, IrA2:28.87°C, IrO1:41.17°C, IrO2:28.91°C
3s, EnvH:46.40%, InH:44.20%, EnvT:24.12°C, InT:26.25°C, IrA1:33.69°C, IrA2:28.87°C, IrO1:41.03°C, IrO2:29.05°C
4s, EnvH:46.41%, InH:44.23%, EnvT:24.10°C, InT:26.23°C, IrA1:33.71°C, IrA2:28.81°C, IrO1:41.21°C, IrO2:28.85°C
5s, EnvH:46.44%, InH:44.24%, EnvT:24.10°C, InT:26.23°C, IrA1:33.71°C, IrA2:28.81°C, IrO1:41.21°C, IrO2:28.97°C
6s, EnvH:46.47%, InH:44.26%, EnvT:24.08°C, InT:26.19°C, IrA1:33.71°C, IrA2:28.81°C, IrO1:41.15°C, IrO2:29.05°C
7s, EnvH:46.51%, InH:44.25%, EnvT:24.08°C, InT:26.19°C, IrA1:33.75°C, IrA2:28.81°C, IrO1:41.19°C, IrO2:28.83°C
8s, EnvH:46.54%, InH:44.26%, EnvT:24.08°C, InT:26.17°C, IrA1:33.75°C, IrA2:28.81°C, IrO1:41.19°C, IrO2:28.97°C
9s, EnvH:46.55%, InH:44.28%, EnvT:24.06°C, InT:26.15°C, IrA1:33.77°C, IrA2:28.77°C, IrO1:41.49°C, IrO2:29.05°C
10s, EnvH:46.57%, InH:44.31%, EnvT:24.06°C, InT:26.10°C, IrA1:33.77°C, IrA2:28.73°C, IrO1:41.83°C, IrO2:29.35°C
11s, EnvH:46.57%, InH:44.38%, EnvT:24.04°C, InT:26.08°C, IrA1:33.77°C, IrA2:28.71°C, IrO1:42.43°C, IrO2:29.69°C
12s, EnvH:46.57%, InH:44.43%, EnvT:24.04°C, InT:26.10°C, IrA1:33.75°C, IrA2:28.65°C, IrO1:43.03°C, IrO2:30.09°C
13s, EnvH:46.57%, InH:44.44%, EnvT:24.02°C, InT:26.10°C, IrA1:33.71°C, IrA2:28.57°C, IrO1:43.77°C, IrO2:30.85°C
14s, EnvH:46.58%, InH:44.43%, EnvT:24.04°C, InT:26.15°C, IrA1:33.69°C, IrA2:28.49°C, IrO1:44.87°C, IrO2:30.99°C
15s, EnvH:46.58%, InH:44.39%, EnvT:24.00°C, InT:26.12°C, IrA1:33.69°C, IrA2:28.43°C, IrO1:45.61°C, IrO2:31.55°C
16s, EnvH:46.57%, InH:44.34%, EnvT:23.97°C, InT:26.17°C, IrA1:33.63°C, IrA2:28.31°C, IrO1:46.47°C, IrO2:31.91°C
17s, EnvH:46.61%, InH:44.30%, EnvT:24.00°C, InT:26.19°C, IrA1:33.57°C, IrA2:28.25°C, IrO1:47.41°C, IrO2:32.09°C
18s, EnvH:46.63%, InH:44.26%, EnvT:24.00°C, InT:26.21°C, IrA1:33.55°C, IrA2:28.13°C, IrO1:48.19°C, IrO2:32.39°C
19s, EnvH:46.64%, InH:44.23%, EnvT:23.97°C, InT:26.23°C, IrA1:33.53°C, IrA2:28.11°C, IrO1:49.43°C, IrO2:32.99°C
20s, EnvH:46.64%, InH:44.19%, EnvT:23.97°C, InT:26.23°C, IrA1:33.47°C, IrA2:28.01°C, IrO1:50.23°C, IrO2:33.29°C
21s, EnvH:46.65%, InH:44.14%, EnvT:23.95°C, InT:26.25°C, IrA1:33.47°C, IrA2:27.93°C, IrO1:51.35°C, IrO2:33.29°C
22s, EnvH:46.65%, InH:44.10%, EnvT:23.95°C, InT:26.29°C, IrA1:33.39°C, IrA2:27.87°C, IrO1:52.19°C, IrO2:34.13°C
23s, EnvH:46.67%, InH:44.05%, EnvT:23.95°C, InT:26.31°C, IrA1:33.37°C, IrA2:27.73°C, IrO1:53.21°C, IrO2:33.95°C
24s, EnvH:46.67%, InH:43.98%, EnvT:23.95°C, InT:26.34°C, IrA1:33.35°C, IrA2:27.69°C, IrO1:54.05°C, IrO2:34.63°C
25s, EnvH:46.68%, InH:43.93%, EnvT:23.93°C, InT:26.38°C, IrA1:33.37°C, IrA2:27.67°C, IrO1:55.31°C, IrO2:34.77°C
26s, EnvH:46.69%, InH:43.87%, EnvT:23.93°C, InT:26.40°C, IrA1:33.29°C, IrA2:27.59°C, IrO1:56.23°C, IrO2:35.71°C
27s, EnvH:46.71%, InH:43.79%, EnvT:23.93°C, InT:26.44°C, IrA1:33.33°C, IrA2:27.51°C, IrO1:57.21°C, IrO2:35.53°C
28s, EnvH:46.72%, InH:43.75%, EnvT:23.91°C, InT:26.46°C, IrA1:33.31°C, IrA2:27.45°C, IrO1:58.15°C, IrO2:36.15°C
29s, EnvH:46.73%, InH:43.68%, EnvT:23.91°C, InT:26.53°C, IrA1:33.29°C, IrA2:27.39°C, IrO1:59.39°C, IrO2:36.85°C
30s, EnvH:46.75%, InH:43.61%, EnvT:23.91°C, InT:26.55°C, IrA1:33.29°C, IrA2:27.35°C, IrO1:60.43°C, IrO2:36.61°C
31s, EnvH:46.75%, InH:43.52%, EnvT:23.89°C, InT:26.61°C, IrA1:33.29°C, IrA2:27.27°C, IrO1:61.37°C, IrO2:37.51°C
32s, EnvH:46.78%, InH:43.43%, EnvT:23.91°C, InT:26.63°C, IrA1:33.29°C, IrA2:27.19°C, IrO1:62.49°C, IrO2:37.45°C
33s, EnvH:46.80%, InH:43.36%, EnvT:23.87°C, InT:26.72°C, IrA1:33.27°C, IrA2:27.13°C, IrO1:63.53°C, IrO2:37.67°C
34s, EnvH:46.82%, InH:43.26%, EnvT:23.87°C, InT:26.74°C, IrA1:33.31°C, IrA2:27.07°C, IrO1:64.61°C, IrO2:38.97°C
35s, EnvH:46.83%, InH:43.18%, EnvT:23.87°C, InT:26.82°C, IrA1:33.29°C, IrA2:26.99°C, IrO1:65.69°C, IrO2:38.79°C
36s, EnvH:46.85%, InH:43.07%, EnvT:23.87°C, InT:26.85°C, IrA1:33.33°C, IrA2:26.91°C, IrO1:66.87°C, IrO2:38.71°C
37s, EnvH:46.85%, InH:42.98%, EnvT:23.87°C, InT:26.89°C, IrA1:33.33°C, IrA2:26.89°C, IrO1:67.85°C, IrO2:39.83°C
38s, EnvH:46.88%, InH:42.88%, EnvT:23.87°C, InT:26.93°C, IrA1:33.35°C, IrA2:26.83°C, IrO1:68.81°C, IrO2:39.89°C
39s, EnvH:46.88%, InH:42.79%, EnvT:23.82°C, InT:26.98°C, IrA1:33.39°C, IrA2:26.83°C, IrO1:69.79°C, IrO2:40.43°C
40s, EnvH:46.89%, InH:42.70%, EnvT:23.82°C, InT:27.04°C, IrA1:33.43°C, IrA2:26.79°C, IrO1:71.11°C, IrO2:40.71°C
41s, EnvH:46.91%, InH:42.61%, EnvT:23.87°C, InT:27.10°C, IrA1:33.43°C, IrA2:26.69°C, IrO1:72.15°C, IrO2:41.25°C
42s, EnvH:46.92%, InH:42.50%, EnvT:23.84°C, InT:27.17°C, IrA1:33.47°C, IrA2:26.67°C, IrO1:73.09°C, IrO2:41.21°C
43s, EnvH:46.93%, InH:42.39%, EnvT:23.80°C, InT:27.23°C, IrA1:33.49°C, IrA2:26.67°C, IrO1:74.21°C, IrO2:41.75°C
45s, EnvH:46.95%, InH:42.28%, EnvT:23.84°C, InT:27.27°C, IrA1:33.53°C, IrA2:26.61°C, IrO1:75.27°C, IrO2:42.53°C
46s, EnvH:46.95%, InH:42.18%, EnvT:23.82°C, InT:27.34°C, IrA1:33.55°C, IrA2:26.51°C, IrO1:76.37°C, IrO2:42.59°C
47s, EnvH:46.96%, InH:42.07%, EnvT:23.82°C, InT:27.42°C, IrA1:33.59°C, IrA2:26.53°C, IrO1:77.53°C, IrO2:42.87°C
48s, EnvH:46.96%, InH:41.95%, EnvT:23.80°C, InT:27.50°C, IrA1:33.65°C, IrA2:26.47°C, IrO1:78.69°C, IrO2:43.63°C
49s, EnvH:46.98%, InH:41.84%, EnvT:23.80°C, InT:27.53°C, IrA1:33.69°C, IrA2:26.45°C, IrO1:79.69°C, IrO2:43.23°C
50s, EnvH:47.01%, InH:41.74%, EnvT:23.78°C, InT:27.57°C, IrA1:33.73°C, IrA2:26.43°C, IrO1:80.79°C, IrO2:43.91°C
51s, EnvH:47.05%, InH:41.63%, EnvT:23.78°C, InT:27.61°C, IrA1:33.75°C, IrA2:26.35°C, IrO1:81.71°C, IrO2:44.55°C
52s, EnvH:47.09%, InH:41.52%, EnvT:23.78°C, InT:27.68°C, IrA1:33.83°C, IrA2:26.35°C, IrO1:82.69°C, IrO2:45.19°C
53s, EnvH:47.12%, InH:41.42%, EnvT:23.78°C, InT:27.78°C, IrA1:33.87°C, IrA2:26.31°C, IrO1:83.95°C, IrO2:44.71°C
54s, EnvH:47.14%, InH:41.30%, EnvT:23.76°C, InT:27.82°C, IrA1:33.93°C, IrA2:26.27°C, IrO1:84.87°C, IrO2:45.39°C
55s, EnvH:47.16%, InH:41.18%, EnvT:23.76°C, InT:27.87°C, IrA1:33.99°C, IrA2:26.27°C, IrO1:86.03°C, IrO2:46.47°C
56s, EnvH:47.16%, InH:41.05%, EnvT:23.74°C, InT:27.93°C, IrA1:34.07°C, IrA2:26.25°C, IrO1:87.01°C, IrO2:46.03°C
57s, EnvH:47.20%, InH:40.93%, EnvT:23.76°C, InT:28.04°C, IrA1:34.15°C, IrA2:26.25°C, IrO1:87.89°C, IrO2:46.83°C
58s, EnvH:47.22%, InH:40.80%, EnvT:23.74°C, InT:28.12°C, IrA1:34.17°C, IrA2:26.21°C, IrO1:88.95°C, IrO2:47.51°C
59s, EnvH:47.24%, InH:40.67%, EnvT:23.74°C, InT:28.16°C, IrA1:34.25°C, IrA2:26.19°C, IrO1:90.27°C, IrO2:46.99°C
60s, EnvH:47.24%, InH:40.54%, EnvT:23.74°C, InT:28.25°C, IrA1:34.33°C, IrA2:26.15°C, IrO1:90.99°C, IrO2:47.85°C
61s, EnvH:47.25%, InH:40.39%, EnvT:23.72°C, InT:28.31°C, IrA1:34.39°C, IrA2:26.11°C, IrO1:92.13°C, IrO2:48.13°C
62s, EnvH:47.25%, InH:40.26%, EnvT:23.70°C, InT:28.40°C, IrA1:34.47°C, IrA2:26.11°C, IrO1:93.11°C, IrO2:47.89°C
63s, EnvH:47.26%, InH:40.14%, EnvT:23.74°C, InT:28.48°C, IrA1:34.55°C, IrA2:26.11°C, IrO1:94.25°C, IrO2:49.07°C
64s, EnvH:47.26%, InH:40.01%, EnvT:23.74°C, InT:28.52°C, IrA1:34.63°C, IrA2:26.05°C, IrO1:95.03°C, IrO2:48.51°C
65s, EnvH:47.27%, InH:39.88%, EnvT:23.70°C, InT:28.59°C, IrA1:34.69°C, IrA2:26.05°C, IrO1:96.39°C, IrO2:48.69°C
66s, EnvH:47.29%, InH:39.78%, EnvT:23.72°C, InT:28.70°C, IrA1:34.77°C, IrA2:25.99°C, IrO1:97.17°C, IrO2:50.13°C
67s, EnvH:47.31%, InH:39.65%, EnvT:23.70°C, InT:28.74°C, IrA1:34.85°C, IrA2:26.03°C, IrO1:98.15°C, IrO2:50.63°C
68s, EnvH:47.33%, InH:39.51%, EnvT:23.68°C, InT:28.80°C, IrA1:34.95°C, IrA2:26.01°C, IrO1:99.29°C, IrO2:50.15°C
69s, EnvH:47.35%, InH:39.38%, EnvT:23.70°C, InT:28.86°C, IrA1:35.03°C, IrA2:25.99°C, IrO1:100.19°C, IrO2:50.73°C
70s, EnvH:47.36%, InH:39.25%, EnvT:23.68°C, InT:28.93°C, IrA1:35.13°C, IrA2:25.93°C, IrO1:101.07°C, IrO2:52.03°C
71s, EnvH:47.36%, InH:39.13%, EnvT:23.68°C, InT:28.99°C, IrA1:35.21°C, IrA2:25.93°C, IrO1:102.07°C, IrO2:50.95°C
72s, EnvH:47.37%, InH:39.01%, EnvT:23.68°C, InT:29.08°C, IrA1:35.33°C, IrA2:25.93°C, IrO1:103.13°C, IrO2:52.03°C
73s, EnvH:47.39%, InH:38.86%, EnvT:23.70°C, InT:29.12°C, IrA1:35.39°C, IrA2:25.93°C, IrO1:104.05°C, IrO2:53.13°C
74s, EnvH:47.39%, InH:38.74%, EnvT:23.63°C, InT:29.21°C, IrA1:35.51°C, IrA2:25.89°C, IrO1:105.05°C, IrO2:52.51°C
75s, EnvH:47.40%, InH:38.60%, EnvT:23.68°C, InT:29.27°C, IrA1:35.61°C, IrA2:25.87°C, IrO1:105.89°C, IrO2:52.15°C
76s, EnvH:47.42%, InH:38.48%, EnvT:23.65°C, InT:29.36°C, IrA1:35.69°C, IrA2:25.85°C, IrO1:106.89°C, IrO2:53.71°C
77s, EnvH:47.42%, InH:38.36%, EnvT:23.63°C, InT:29.42°C, IrA1:35.85°C, IrA2:25.85°C, IrO1:107.67°C, IrO2:54.05°C
78s, EnvH:47.43%, InH:38.25%, EnvT:23.63°C, InT:29.48°C, IrA1:35.95°C, IrA2:25.83°C, IrO1:108.91°C, IrO2:53.31°C
79s, EnvH:47.45%, InH:38.11%, EnvT:23.68°C, InT:29.54°C, IrA1:36.03°C, IrA2:25.85°C, IrO1:109.61°C, IrO2:55.09°C
80s, EnvH:47.44%, InH:38.01%, EnvT:23.63°C, InT:29.61°C, IrA1:36.19°C, IrA2:25.83°C, IrO1:110.67°C, IrO2:54.13°C
81s, EnvH:47.46%, InH:37.89%, EnvT:23.61°C, InT:29.65°C, IrA1:36.27°C, IrA2:25.83°C, IrO1:111.49°C, IrO2:55.75°C
82s, EnvH:47.48%, InH:37.77%, EnvT:23.63°C, InT:29.74°C, IrA1:36.43°C, IrA2:25.83°C, IrO1:112.49°C, IrO2:54.61°C
83s, EnvH:47.49%, InH:37.65%, EnvT:23.63°C, InT:29.84°C, IrA1:36.53°C, IrA2:25.83°C, IrO1:113.47°C, IrO2:56.31°C
84s, EnvH:47.49%, InH:37.52%, EnvT:23.61°C, InT:29.88°C, IrA1:36.65°C, IrA2:25.81°C, IrO1:114.33°C, IrO2:55.29°C
85s, EnvH:47.50%, InH:37.39%, EnvT:23.63°C, InT:29.97°C, IrA1:36.77°C, IrA2:25.79°C, IrO1:115.17°C, IrO2:56.35°C
86s, EnvH:47.51%, InH:37.26%, EnvT:23.61°C, InT:30.03°C, IrA1:36.91°C, IrA2:25.79°C, IrO1:116.19°C, IrO2:57.31°C
87s, EnvH:47.53%, InH:37.14%, EnvT:23.61°C, InT:30.05°C, IrA1:37.07°C, IrA2:25.77°C, IrO1:116.81°C, IrO2:56.13°C
89s, EnvH:47.54%, InH:37.00%, EnvT:23.61°C, InT:30.14°C, IrA1:37.19°C, IrA2:25.79°C, IrO1:117.81°C, IrO2:56.87°C
90s, EnvH:47.53%, InH:36.90%, EnvT:23.59°C, InT:30.23°C, IrA1:37.31°C, IrA2:25.79°C, IrO1:118.81°C, IrO2:57.71°C
91s, EnvH:47.55%, InH:36.80%, EnvT:23.59°C, InT:30.31°C, IrA1:37.47°C, IrA2:25.77°C, IrO1:119.67°C, IrO2:58.79°C
92s, EnvH:47.56%, InH:36.67%, EnvT:23.59°C, InT:30.38°C, IrA1:37.61°C, IrA2:25.79°C, IrO1:120.41°C, IrO2:57.55°C
93s, EnvH:47.57%, InH:36.54%, EnvT:23.57°C, InT:30.44°C, IrA1:37.71°C, IrA2:25.77°C, IrO1:121.43°C, IrO2:58.47°C
94s, EnvH:47.59%, InH:36.43%, EnvT:23.59°C, InT:30.52°C, IrA1:37.87°C, IrA2:25.75°C, IrO1:122.21°C, IrO2:59.89°C
95s, EnvH:47.60%, InH:36.30%, EnvT:23.59°C, InT:30.56°C, IrA1:38.03°C, IrA2:25.77°C, IrO1:123.15°C, IrO2:59.99°C
96s, EnvH:47.61%, InH:36.19%, EnvT:23.57°C, InT:30.67°C, IrA1:38.17°C, IrA2:25.77°C, IrO1:124.19°C, IrO2:58.75°C
